time,vel_final,vel_motor1,vel_motor2,vel_motor7,vel_motor8,vel_vcu4L,vel_vcu4R,vel_vcu5L,vel_vcu5R,vel_motor,vel_dis,vel_vcu,dis_final,dis_vcu,dis_intg,dis_4L,dis_4R,dis_5L,dis_5R,odr1,odr2,odr3,odr4,odr5,odr6,odr1_real,odr2_real,odr3_real,odr4_real,odr5_real,odr6_real,odr1_diff,odr2_diff,odr3_diff,odr4_diff,odr5_diff,odr6_diff,phi1_real,phi2_real,phi3_real,sitaJ12_1_real,sitaJ12_2_real,sitaJ23_2_real,sitaJ23_3_real,sitaJ34_3_real,imu_phi1,imu_phi2,imu_phi3,imu_phi4,imu_phi1_r,imu_phi2_r,imu_phi3_r,imu_phi4_r,imu_roll1,imu_roll2,imu_roll3,imu_roll1_r,imu_roll2_r,imu_roll3_r,imu_pitch1,imu_pitch2,imu_pitch3,imu_pitch1_r,imu_pitch2_r,imu_pitch3_r,intg_phi1,intg_phi2,intg_phi3,intg_phi4,imu_acc1_x,imu_acc2_x,imu_acc3_x,imu_acc4_x,imu_acc1_y,imu_acc2_y,imu_acc3_y,imu_acc4_y,imu_acc1_z,imu_acc2_z,imu_acc3_z,imu_acc4_z,angle12,angle23,angle12_vel,angle23_vel,Mc1_A,Mc1_B,Mc2_A,Mc2_B,AS12_select,AS23_select,Mc1_A_sta,Mc1_B_sta,Mc2_A_sta,Mc2_B_sta,mag1_dev,mag2_dev,mag3_dev,mag4_dev,mag5_dev,mag6_dev,mag_curv0,mag_curv1,mag_curv10,mag_curv100,ctrl_multi,ctrl_velocity,ctrl_angle,mcu_brake_flag,mcu_fault_code,veh_num,veh_mode,veh_head,veh_scene,ncu_ctrl_flag,ncu_connect_flag,ncu_brake_flag,ncu_sys_status,ctrl_pt2_rev_ratio,ctrl_pt3_rev_ratio,ctrl_pt4_rev_ratio,ctrl_pt2_curv_ratio,ctrl_pt3_curv_ratio,ctrl_pt4_curv_ratio,coord_state,rds_state,eps_state,vcu_state,servo1_error,frqcv1_error,servo2_error,frqcv2_error,servo3_error,frqcv3_error,servo4_error,frqcv4_error,servo5_error,frqcv5_error,servo6_error,frqcv6_error,usrmc1_1,usrmc1_2,usrmc1_3,usrmc1_4,usrmc1_5,usrmc1_6,usrmc2_1,usrmc2_2,usrmc2_3,usrmc2_4,usrmc2_5,usrmc2_6,usrT_1,usrT_2,usrT_3,usrT_4,usrT_5,usrT_6,latitude,longitude,role,role_others,swi_send_cmd,swi_recv_cmd,magID,ATV_speed,autoGuideMode,ncu_rev_status,auto_state,steer_state,lineNum,battery_level,H2Surplus_1,H2Surplus_3,rtk1_timestamp,rtk1_lat,rtk1_lon,rtk1_flag,rtk2_timestamp,rtk2_lat,rtk2_lon,rtk2_flag,rtk3_timestamp,rtk3_lat,rtk3_lon,rtk3_flag,rtk4_timestamp,rtk4_lat,rtk4_lon,rtk4_flag,WhlCode1L,WhlCode2L,WhlCode3L,WhlCode4L,WhlCode5L,WhlCode6L,WhlCode7L,WhlCode8L,WhlCode1R,WhlCode2R,WhlCode3R,WhlCode4R,WhlCode5R,WhlCode6R,WhlCode7R,WhlCode8R,AccPed_1,TracCmd_1,BrkCmd_1,BrkPed_1,MotorTorque1_1_1,MotorTorque2_1_1,MotorTorque1_3_1,MotorTorque2_3_1,HydBrkForce_1_1,HydBrkForce_2_1,HydBrkForce_3_1,mc1a_torq,mc1b_torq,ta_torq,tb_torq,mc2a_torq,mc2b_torqautoDri_kp,autoDri_Fi,autoDri_pidError,autoDri_pidInt,autoDri_tgtVel,autoDri_AccPedstate
05:17.0,18.001801,18.070299,17.9333,0,0,0,171.600006,173.800003,193.899994,0,0,51.069443,297.326691,0,297.326691,0,0,0,0,12212,-9987,9951,-9951,8803,-11095,12537,-10041,9932,-10001,8849,-11191,0,0,0,0,0,0,15.014876,14.713358,13.657249,-0.218812,0.215909,-0.215909,0.193119,-0.193119,0,0,0,0,15.320312,15.148438,15.367188,0,1.282227,1.338226,-0.278046,0.390625,0.742188,1.054688,-0.930023,-0.71933,-0.085083,-0.921875,-0.664062,-1,11827.41895,11811.91016,11798.2041,0,0.13,0.09,0.04,0,1.37,1.53,1.41,0,10.02,9.53,9.23,0,24.907663,23.435585,0.26875,0.313196,24.907663,25.244865,23.435585,23.363537,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.682,3556688.451,3,0,377379.8,3556680.057,3,0,377372.612,3556663.753,3,0,377378.165,3556670.997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1950,1950,1950,1790,0,0,0,87,-10,16,-203,-23,450.12,0.00005,0.555055,2029.914185,20,0
05:17.0,18.001801,18.070299,17.9333,0,0,0,171.600006,173.800003,193.899994,0,0,51.069443,297.426697,0,297.426697,0,0,0,0,12175,-9964,9965,-9965,8784,-11092,12509,-10046,9921,-9991,8835,-11197,0,0,0,0,0,0,15.01989,14.718159,13.661718,-0.218323,0.216196,-0.216196,0.192707,-0.192707,0,0,0,0,15.304688,15.164062,15.34375,0,1.288177,1.344177,-0.277802,0.632812,0.726562,1.101562,-0.934601,-0.715424,-0.092407,-0.992188,-0.671875,-1.09375,11827.71582,11812.20215,11798.5,0,0.06,0.07,0.1,0,1.56,1.55,1.44,0,10.06,9.68,9.24,0,24.896128,23.428398,0.26875,0.313196,24.896128,25.264429,23.428398,23.380873,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.682,3556688.451,3,0,377379.8,3556680.057,3,0,377373.021,3556664.083,3,0,377378.165,3556670.997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1950,1950,1950,1790,0,0,0,108,-18,27,-211,-23,460.12,0.00005,0.555055,2030.469238,20,0
05:17.0,18.001801,18.070299,17.9333,0,0,0,171.600006,173.800003,193.899994,0,0,51.069443,297.526703,0,297.526703,0,0,0,0,12143,-9937,9997,-9997,8740,-11084,12475,-10046,9918,-9988,8820,-11202,0,0,0,0,0,0,15.024891,14.722966,13.666178,-0.21773,0.216876,-0.216876,0.191758,-0.191758,0,0,0,0,15.304688,15.1875,15.289062,0,1.298401,1.351044,-0.276276,0.71875,0.796875,1.195312,-0.940277,-0.711823,-0.102814,-0.984375,-0.679688,-1.296875,11828.01172,11812.49512,11798.7959,0,0.1,0.12,0.15,0,1.69,1.51,1.54,0,10.19,9.85,9.28,0,24.901083,23.413,0.26875,0.313196,24.901083,25.272673,23.413,23.395061,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.682,3556688.451,3,0,377379.8,3556680.057,3,0,377373.021,3556664.083,3,0,377378.165,3556670.997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1950,1950,1950,1790,0,0,0,101,-16,21,-211,69,550.12,0.00005,0.555055,2031.024292,20,0
05:17.0,18.001801,18.070299,17.9333,0,0,0,171.600006,173.800003,193.899994,0,0,51.069443,297.626709,0,297.626709,0,0,0,0,12116,-9908,10031,-10031,8705,-11071,12439,-10042,9919,-9989,8802,-11205,0,0,0,0,0,0,15.029878,14.727789,13.670615,-0.217101,0.217619,-0.217619,0.190997,-0.190997,0,0,0,0,15.226562,15.265625,15.351562,0,1.310516,1.359467,-0.271698,0.703125,1,1.570312,-0.945251,-0.708099,-0.116821,-0.90625,-0.75,-1.398438,11828.30664,11812.78906,11799.0918,0,0.19,0.24,0.08,0,1.58,1.5,1.55,0,10.26,10.02,9.31,0,24.907663,23.411978,-0.421362,-0.662274,24.907663,25.271646,23.411978,23.352512,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.682,3556688.451,3,0,377379.8,3556680.057,3,0,377373.021,3556664.083,3,0,377378.165,3556670.997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1950,1950,1950,1790,0,0,0,71,-47,5,-190,50,500.12,0.00005,0.555055,2031.579346,20,0
05:17.0,18.001801,18.070299,17.9333,0,0,0,171.600006,173.800003,193.899994,0,0,51.069443,297.726715,0,297.726715,0,0,0,0,12099,-9880,10067,-10067,8679,-11056,12405,-10031,9921,-9991,8793,-11206,0,0,0,0,0,0,15.034851,14.732628,13.675035,-0.216508,0.218385,-0.218385,0.190428,-0.190428,0,0,0,0,15.234375,15.21875,15.296875,0,1.319366,1.371216,-0.260895,0.429688,1.070312,1.539062,-0.950073,-0.706665,-0.131989,-1.0625,-0.90625,-1.335938,11828.60156,11813.08301,11799.3877,0,0.17,0.25,0.03,0,1.46,1.43,1.46,0,10.04,10.11,9.28,0,24.917562,23.423265,-0.421362,-0.662274,24.917562,25.268551,23.423265,23.283306,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.682,3556688.451,3,0,377379.8,3556680.057,3,0,377373.021,3556664.083,3,0,377378.388,3556671.471,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1950,1950,1950,1790,0,0,0,85,-71,-23,-146,29,500.12,0.00005,0.555055,2032.134399,20,0
05:17.1,18.06345,18.070299,18.056601,0,0,0,171.600006,176.100006,193.899994,0,0,51.388889,297.827057,0,297.827057,0,0,0,0,12091,-9852,10121,-10121,8638,-11036,12370,-10013,9939,-10006,8764,-11205,0,0,0,0,0,0,15.039827,14.7375,13.679456,-0.215897,0.219543,-0.219543,0.189539,-0.189539,0,0,0,0,15.3125,15.320312,15.226562,0,1.326294,1.383942,-0.251221,0.515625,1.046875,1.421875,-0.957184,-0.708557,-0.146088,-1.085938,-1.148438,-1.265625,11828.89844,11813.37793,11799.68164,0,0.08,0.16,0.06,0,1.47,1.35,1.41,0,9.77,10,9.37,0,24.9489,23.438662,-0.421362,-0.662274,24.9489,25.259281,23.438662,23.23148,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.458,3556688.907,3,0,377379.794,3556680.569,3,0,377373.424,3556664.426,3,0,377378.388,3556671.471,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1950,1950,1950,1790,0,0,0,96,-87,-55,-76,11,410.12,0.00005,0.537931,2032.672363,20,0
05:17.1,18.06345,18.070299,18.056601,0,0,0,171.600006,176.100006,193.899994,0,0,51.388889,297.927399,0,297.927399,0,0,0,0,12087,-9826,10194,-10194,8579,-11009,12338,-9991,9962,-10030,8734,-11200,0,0,0,0,0,0,15.04479,14.742398,13.683856,-0.215339,0.221111,-0.221111,0.188258,-0.188258,0,0,0,0,15.265625,15.289062,15.234375,0,1.335571,1.395691,-0.243042,0.890625,0.984375,1.515625,-0.964661,-0.714935,-0.15802,-1.054688,-1.382812,-1.257812,11829.19434,11813.67285,11799.97656,0,0.02,0.15,0.13,0,1.59,1.38,1.38,0,9.78,9.97,9.68,0,25.006714,23.455091,-0.421362,-0.662274,25.006714,25.229424,23.455091,23.211079,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.458,3556688.907,3,0,377379.794,3556680.569,3,0,377373.424,3556664.426,3,0,377378.388,3556671.471,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1950,1950,1950,1790,0,0,0,83,-107,-75,-68,24,-130.12,0.00005,0.537931,2033.210327,20,0
05:17.1,18.06345,18.070299,18.056601,0,0,0,171.600006,176.100006,193.899994,0,0,51.388889,298.02774,0,298.02774,0,0,0,0,12088,-9802,10263,-10263,8527,-10977,12308,-9964,9988,-10061,8703,-11189,0,0,0,0,0,0,15.049742,14.747332,13.688227,-0.214815,0.222587,-0.222587,0.187122,-0.187122,0,0,0,0,15.234375,15.328125,15.234375,0,1.351349,1.40686,-0.234344,1,1.007812,1.476562,-0.971649,-0.725464,-0.170654,-1.101562,-1.46875,-1.257812,11829.48926,11813.96875,11800.27051,0,0.07,0.2,0.18,0,1.63,1.49,1.28,0,9.89,10.08,9.99,0,25.061314,23.474598,-0.421362,-0.662274,25.061314,25.180006,23.474598,23.201677,1,1,0,0,0,0,-0.108,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,111,1000,0,0,2,1,0,43,5,0,0,377377.458,3556688.907,3,0,377379.794,3556680.569,3,0,377373.424,3556664.426,3,0,377378.388,3556671.471,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1950,1950,1950,1790,0,0,0,64,-108,-102,-68,128,-500.12,0.00005,0.537931,2033.748291,20,0
05:17.1,18.06345,18.070299,18.056601,0,0,0,171.600006,176.100006,193.899994,0,0,51.388889,298.128082,0,298.128082,0,0,0,0,12096,-9785,10289,-10289,8521,-10946,12287,-9939,10023,-10098,8673,-11174,0,0,0,0,0,0,15.054683,14.752297,13.692571,-0.214449,0.223156,-0.223156,0.187001,-0.187001,0,0,0,0,15.21875,15.304688,15.15625,0,1.367737,1.419922,-0.225098,0.945312,1.125,1.585938,-0.97876,-0.737549,-0.181732,-0.984375,-1.5,-1.101562,11829.78418,11814.26367,11800.56348,0,0.15,0.31,0.21,0,1.51,1.49,1.21,0,9.9,10.03,10.11,0,25.072908,23.500271,-0.421362,-0.662274,25.072908,25.167652,23.500271,23.196978,1,1,0,0,0,0,-0.1,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,112,1000,0,0,2,1,0,43,5,0,0,377377.458,3556688.907,3,0,377379.794,3556680.569,3,0,377373.424,3556664.426,3,0,377378.388,3556671.471,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1950,1950,1950,1790,0,0,0,45,-120,-102,-57,123,-630.12,0.00005,0.537931,2034.286255,20,0
05:17.1,18.06345,18.070299,18.056601,0,0,0,171.600006,176.100006,193.899994,0,0,51.388889,298.228424,0,298.228424,0,0,0,0,12104,-9773,10333,-10333,8492,-10912,12272,-9911,10071,-10146,8629,-11158,0,0,0,0,0,0,15.059617,14.757277,13.696912,-0.214187,0.224083,-0.224083,0.186361,-0.186361,0,0,0,0,15.203125,15.382812,15.171875,0,1.383759,1.433502,-0.215088,0.890625,1.078125,1.304688,-0.983673,-0.749786,-0.19046,-0.890625,-1.453125,-1.070312,11830.0791,11814.56055,11800.85645,0,0.19,0.4,0.21,0,1.38,1.47,1.27,0,9.68,9.74,9.94,0,25.111019,23.516701,-0.421362,-0.662274,25.111019,25.1553,23.516701,23.176594,1,1,0,0,0,0,-0.1,0,0,0,0,0,0.05,0.05,0.05,0.05,100,100,100,0,14,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,112,1000,0,0,2,1,0,43,5,0,0,377377.458,3556688.907,3,0,377379.794,3556680.569,3,0,377373.424,3556664.426,3,0,377378.599,3556671.948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1950,1950,1950,1790,0,0,0,34,-128,-113,-50,56,-950.12,0.00005,0.537931,2034.824219,20,0
